iter	Passed	Remaining
0	2	1474
1	79	28155
2	155	36563
3	235	41463
4	237	33459
5	239	28061
6	243	24404
7	245	21466
8	323	25099
9	333	23257
10	406	25741
11	407	23643
12	411	21991
13	445	22082
14	447	20665
15	522	22591
16	524	21326
17	558	21421
18	636	23065
19	654	22510
20	656	21473
21	660	20592
22	732	21828
23	734	20946
24	736	20131
25	746	19572
26	748	18878
27	824	20028
28	830	19449
29	906	20487
30	910	19877
31	986	20842
32	988	20229
33	990	19638
34	1000	19240
35	1075	20082
36	1110	20136
37	1111	19603
38	1113	19102
39	1188	19847
40	1264	20578
41	1341	21270
42	1343	20773
43	1345	20304
44	1349	19876
45	1384	19927
46	1460	20536
47	1464	20130
48	1536	20664
49	1546	20346
50	1548	19944
51	1549	19548
52	1623	20069
53	1626	19703
54	1629	19346
55	1632	19003
56	1633	18657
57	1635	18326
58	1710	18815
59	1712	18495
60	1784	18930
61	1859	19375
62	1869	19135
63	1871	18830
64	1873	18536
65	1877	18261
66	1955	18710
67	1961	18463
68	2038	18879
69	2056	18748
70	2067	18545
71	2068	18272
72	2070	18014
73	2151	18434
74	2264	19113
75	2285	19006
76	2287	18746
77	2289	18491
78	2291	18246
79	2294	18012
80	2405	18619
81	2481	18946
82	2485	18718
83	2562	19032
84	2564	18794
85	2567	18572
86	2569	18341
87	2644	18629
88	2647	18410
89	2649	18190
90	2720	18442
91	2792	18699
92	2802	18531
93	2805	18327
94	2807	18115
95	2880	18362
96	2956	18625
97	2975	18520
98	2984	18361
99	2994	18204
100	3072	18464
101	3073	18262
102	3075	18064
103	3092	17960
104	3096	17781
105	3097	17592
106	3098	17406
107	3170	17612
108	3171	17430
109	3173	17251
110	3190	17158
111	3192	16990
112	3209	16898
113	3281	17099
114	3283	16932
115	3356	17128
116	3360	16972
117	3377	16886
118	3379	16728
119	3395	16640
120	3397	16484
121	3470	16670
122	3476	16534
123	3552	16731
124	3630	16933
125	3634	16788
126	3651	16705
127	3657	16572
128	3691	16568
129	3768	16754
130	3774	16623
131	3776	16479
132	3780	16342
133	3854	16513
134	3857	16371
135	3858	16229
136	3931	16386
137	3934	16249
138	3970	16253
139	3972	16115
140	3976	15989
141	4051	16150
142	4061	16047
143	4065	15922
144	4066	15789
145	4072	15674
146	4074	15550
147	4076	15423
148	4150	15572
149	4168	15507
150	4170	15384
151	4245	15529
152	4254	15433
153	4260	15326
154	4333	15460
155	4342	15366
156	4344	15246
157	4419	15382
158	4493	15516
159	4528	15511
160	4602	15637
161	4637	15630
162	4713	15758
163	4723	15666
164	4725	15551
165	4801	15678
166	4876	15796
167	4878	15679
168	4883	15576
169	4892	15484
170	4894	15370
171	4970	15489
172	5045	15604
173	5047	15491
174	5122	15602
175	5125	15492
176	5135	15405
177	5211	15516
178	5288	15629
179	5374	15764
180	5453	15879
181	5456	15770
182	5530	15866
183	5607	15969
184	5688	16081
185	5691	15973
186	5804	16171
187	5809	16067
188	5812	15961
189	5833	15904
190	5842	15813
191	5845	15710
192	5856	15627
193	5936	15728
194	6021	15842
195	6110	15962
196	6195	16071
197	6278	16172
198	6365	16281
199	6412	16288
200	6415	16182
201	6507	16300
202	6513	16203
203	6590	16281
204	6670	16365
205	6672	16259
206	6676	16158
207	6679	16056
208	6681	15953
209	6754	16017
210	6755	15912
211	6785	15876
212	6787	15774
213	6818	15739
214	6819	15637
215	6820	15536
216	6822	15436
217	6895	15498
218	6899	15405
219	6908	15324
220	6911	15229
221	6913	15133
222	6930	15073
223	6934	14982
224	6935	14887
225	6936	14794
226	6945	14717
227	6951	14633
228	6953	14544
229	6956	14456
230	6964	14381
231	7036	14437
232	7039	14351
233	7043	14267
234	7117	14325
235	7120	14240
236	7122	14155
237	7128	14077
238	7130	13991
239	7205	14050
240	7280	14107
241	7357	14167
242	7432	14223
243	7434	14137
244	7518	14209
245	7520	14123
246	7595	14176
247	7671	14228
248	7710	14212
249	7711	14128
250	7801	14204
251	7803	14121
252	7887	14185
253	7970	14245
254	7976	14170
255	7979	14089
